analysis_date,analyst,mv_10,mv_8,mv_7,mv_6,mv_4,slope_7,slope_6,slope_4,read_10,read_8,read_7,read_6,read_4,measured_10,measured_8,measured_7,measured_6,measured_4,measured_10_mv,measured_8_mv,measured_7_mv,measured_6_mv,measured_4_mv,dro,mq,ref,water_temp_c,slope_calc,intercept,ph_10,ph_8,ph_7,ph_6,ph_4,calc_mv_10,calc_mv_8,calc_mv_7,calc_mv_6,calc_mv_4,di2_10,di2_8,di2_7,di2_6,di2_4,sum_di2,sy,yd,lod,notes
26-Jul-23,jthoroski,,-52.1,,64.9,182.1,,98.8,98.8,,7.999,,6,4,,7.996,,6.009,4.012,,-51.9,,64.4,181.4,5.741,5.98,6.636,24.6,-58.55,416,,8,,6,4,,-52,,65,182,0,0.001111111,0,0.004444444,0.001111111,0.006666667,0.08,417,0.004,new 3N KCl
25-Jul-23,jthoroski,,-51.6,,64.6,182.8,,98.2,98.2,,7.999,,5.999,4.001,,8.004,,5.999,4.012,,-52,,64.7,182.1,5.616,5.902,6.59,25.4,-58.6,417,,8,,6,4,,-52,,65,182,0,0.111111111,0,0.444444444,0.111111111,0.666666667,0.82,419,0.042,
24-Jul-23,jthoroski,,-52.7,,64.5,182.7,,99.1,99.1,,7.997,,6,4,,7.983,,5.995,4.007,,-51.9,,64.8,182.3,5.511,6.078,6.559,25.1,-58.85,418,,8,,6,4,,-53,,65,183,0,0.027777778,0,0.111111111,0.027777778,0.166666667,0.41,419,0.021,new pH std bottles prepared. New L239 ref sample bottle prepared (lot #20230710B01-1).
19-Jul-23,jthoroski,,-53.9,,64.5,181.7,,100,99,,7.999,,6,4,,7.989,,5.986,3.985,,,,,182.6,5.778,5.966,6.76,25.1,-58.9,418,,8,,6,4,,-54,,64,182,0,0.04,0,0.16,0.04,0.24,0.49,419,0.025,pH of new L239 lot: 6.620
18-Jul-23,jthoroski,,-53.3,,65.3,182.8,,100.2,99.3,,7.999,,6,4,,7.981,,5.992,3.997,,-52.2,,65.8,183,5.748,5.791,6.742,25.4,-59.025,419,,8,,6,4,,-53,,65,183,0,0.033611111,0,0.134444444,0.033611111,0.201666667,0.45,420,0.023,pH of new L239 lot: 6.602
17-Jul-23,jthoroski,,-53.1,,64.5,182.5,,99.3,99.3,,7.999,,6,4,,7.992,,5.995,3.999,,-52.7,,64.8,182.6,5.643,6.12,6.717,24.7,-58.9,418,,8,,6,4,,-53,,65,182,0,0.004444444,0,0.017777778,0.004444444,0.026666667,0.16,419,0.008,ph of new L239 lot: 6.540
12-Jul-23,jthoroski,,-53.4,,64.5,182.3,,99.6,99.5,,7.999,,6.001,4.001,,7.996,,5.999,4.001,,-53.2,,64.6,182.3,5.681,6.277,6.73,25.4,-58.925,418,,8,,6,4,,-53,,64,182,0,0.000277778,0,0.001111111,0.000277778,0.001666667,0.04,418,0.002,pH of new L239 lot: 6.558
11-Jul-23,jthoroski,,-53.7,,64.8,182.4,,100.1,99.3,,7.999,,6,4.001,,7.997,,6.002,3.996,,-53.6,,64.7,182.7,5.643,6.126,6.726,24.9,-59.025,419,,8,,6,4,,-54,,65,183,0,0.0225,0,0.09,0.0225,0.135,0.37,420,0.019,pH of new L239 lot: 
10-Jul-23,jthoroski,,-53.6,,64.8,182.6,,100,99.5,,7.999,,6,4,,7.989,,6.003,4.002,,-53,,64.6,182.5,5.678,6.289,6.701,25,-59.05,419,,8,,6,4,,-54,,65,183,0,0.01,0,0.04,0.01,0.06,0.24,420,0.012,"started new lot of L239 check sample to test alongside previous one. New lot # is 20230710B01-1, bottled 10 July 2023, from aged L239 sample collected on 27 October 2016. pH of new ref sample: 6.527. New pH standards prepared. "
05-Jul-23,jthoroski,,-52.9,,64.7,182.8,,99.3,99.3,,7.999,,5.998,3.998,,7.987,,6,3.993,,-52.2,,64.6,183.1,5.857,5.776,6.7,25.2,-58.925,418,,8,,6,4,,-53,,65,183,0,0.006944444,0,0.027777778,0.006944444,0.041666667,0.2,419,0.01,
04-Jul-23,jthoroski,,-52.7,,65.1,183,,99.4,99.4,,7.999,,5.997,4,,7.997,,5.991,3.997,,-52.6,,65.5,183.2,5.657,6.092,6.705,25.4,-58.925,419,,8,,6,4,,-53,,65,183,0,0.000277778,0,0.001111111,0.000277778,0.001666667,0.04,419,0.002,lab climate control did not seem to be working
28-Jun-23,jthoroski,,-52.9,,64.9,182.9,,99.5,99.5,,7.999,,6,4.001,,7.988,,5.996,4.001,,-52.3,,65.2,182.9,5.58,5.919,6.806,24.9,-58.95,419,,8,,6,4,,-53,,65,183,0,0.001111111,0,0.004444444,0.001111111,0.006666667,0.08,419,0.004,prepared new pH std bottles
27-Jun-23,jthoroski,,-52.3,,63.4,182.2,,97.7,97.7,,7.999,,6,4,,7.997,,6.007,3.999,,-52.2,,63,182.1,5.624,5.936,6.779,24.9,-58.625,416,,8,,6,4,,-53,,64,182,0,0.266944444,0,1.067777778,0.266944444,1.601666667,1.27,420,0.065,new ref sample bottle from lot # 2020239B01-6
26-Jun-23,jthoroski,,-52.1,,64.2,182.5,,98.2,98.2,,7.999,,6,4,,7.992,,6.012,3.95,,-51.6,,,182.8,5.488,6.189,6.657,24.8,-58.65,417,,8,,6,4,,-52,,65,182,0,0.111111111,0,0.444444444,0.111111111,0.666666667,0.82,419,0.042,
21-Jun-23,jthoroski,,-52.6,,64.1,182.9,,98.6,98.6,,7.999,,6,4,,7.992,,5.989,4.004,,-52.2,,64.8,182.7,5.761,6.031,6.723,24.7,-58.875,418,,8,,6,4,,-53,,65,183,0,0.1225,0,0.49,0.1225,0.735,0.86,421,0.044,
20-Jun-23,jthoroski,,-52.5,,65.1,182.9,,99.3,99.3,,7.999,,6.001,4,,8.003,,6.011,4,,-52.7,,64.5,183.3,5.704,6.104,6.72,25.1,-58.85,418,,8,,6,4,,-53,,65,183,0,0.001111111,0,0.004444444,0.001111111,0.006666667,0.08,419,0.004,
19-Jun-23,jthoroski,,-52.5,,64.6,183.7,,98.9,98.9,,7.999,,6,4,,7.991,,6.016,4.017,,-52,,63.7,182.7,5.578,5.993,6.659,25.6,-59.05,420,,8,,6,4,,-53,,65,183,0,0.111111111,0,0.444444444,0.111111111,0.666666667,0.82,422,0.041,switched over to new ref sample bottle from different source bottle (bottle 6/6 of lot # 2020239B01-6)
14-Jun-23,jthoroski,,-53.4,,64.7,183.6,,99.8,100.4,,7.999,,6,4,,7.989,,6.01,4.007,,,,,183.2,5.571,5.634,6.809,25.3,-59.25,420,,8,,6,4,,-54,,65,183,0,0.017777778,0,0.071111111,0.017777778,0.106666667,0.33,421,0.017,pH of new ref bottle: 6.694
13-Jun-23,jthoroski,,-53.3,,63.7,183.4,,98.8,101.1,,7.999,,6,4,,7.999,,6.012,4.004,,-53.3,,63,183.2,5.656,6.008,6.777,25.4,-59.175,420,,8,,6,4,,-54,,65,183,0,0.2025,0,0.81,0.2025,1.215,1.1,423,0.056,pH of new ref bottle: 6.666
12-Jun-23,jthoroski,,-53.3,,66.8,183.2,,101.5,98.3,,7.999,,6,4,,8.006,,6.034,4,,-53.7,,64.8,183.2,5.541,6.158,6.808,24.9,-59.125,420,,8,,6,4,,-53,,66,184,0,0.380277778,0,1.521111111,0.380277778,2.281666667,1.51,425,0.077,prepared new pH std bottles and new ref sample bottle. pH of new ref bottle: 6.675. New ref sample bottle is from different source bottle (bottle 6/6 of lot # 2020239B01-6) but from same lot as old bottle (both lot # 2020239B01) and will be ran alongside old bottle before switching over.
07-Jun-23,jthoroski,,-51,,65.9,183.9,,98.7,98.7,,7.999,,5.998,4,,7.997,,6.01,4.005,,-50.9,,65.2,183.6,5.755,6.323,6.818,25.7,-58.725,419,,8,,6,4,,-51,,66,184,0,0.033611111,0,0.134444444,0.033611111,0.201666667,0.45,420,0.023,
06-Jun-23,jthoroski,,-52.2,,65.1,183.1,,99.1,99.1,,7.999,,6,4,,7.988,,5.997,4.005,,-51.6,,65.3,182.8,5.617,6.134,6.809,25,-58.825,418,,8,,6,4,,-52,,65,183,0,0.013611111,0,0.054444444,0.013611111,0.081666667,0.29,419,0.015,
05-Jun-23,jthoroski,,-50.1,,65.4,183.7,,97.6,97.6,,7.999,,6,4,,7.994,,5.996,4.007,,,,65.6,183.3,5.958,5.596,6.783,24.8,-58.45,417,,8,,6,4,,-51,,66,183,0,0.217777778,0,0.871111111,0.217777778,1.306666667,1.14,420,0.059,prepared new pH std bottles. pH 4 new lot no. 230419. (previous was lot no. 221684)
31-May-23,jthoroski,,-51.8,,65.3,180.9,,98.9,97.7,,7.999,,6,4,,7.996,,6.004,3.995,,-51.6,,65.1,181.2,5.707,5.898,6.795,25,-58.175,414,,8,,6,4,,-52,,65,181,0,0.0625,0,0.25,0.0625,0.375,0.61,416,0.032,
31-May-23,jthoroski,,-49.4,,66.2,180.9,,97.7,96.9,,7.999,,6,4,,,,,,,,,,,,,,,-57.575,411,,8,,6,4,,-49,,66,181,0,0.0225,0,0.09,0.0225,0.135,0.37,412,0.019,flush and refill electrode filling solution and recalibrate
31-May-23,jthoroski,,-46.7,,66.7,183,,95.8,95.8,,7.997,,6.002,4,,8.07,,,,,,,,,,,,,-57.425,412,,8,,6,4,,-47,,68,183,0,0.233611111,0,0.934444444,0.233611111,1.401666667,1.18,416,0.062,air T when calibrating
30-May-23,jthoroski,,-48,,67.7,183.4,,97.7,97.7,,7.999,,6,4,,8.013,,6.009,4.007,,-48.8,,67.2,183,5.696,5.312,6.849,25.3,-57.85,415,,8,,6,4,,-48,,68,183,0,0,0,2.01948E-28,0,2.01948E-28,0,415,0,"after flushing the electrode filling solution and replacing, the mV readings for the cal stds seemed to be more stable but still slowly increased. Still thought to be due to temperature increasing in the lab (T went from 23 degC to 26.5 degC between the AM and end of the day)"
30-May-23,jthoroski,,-48.4,,66.5,184,,97.1,97.1,,7.999,,6,4,,,,,,,,,,,,,,,-58.1,416,,8,,6,4,,-49,,67,184,0,0.187777778,0,0.751111111,0.187777778,1.126666667,1.06,419,0.055,"when measuring calibration standards, the reading did not seem to truly stabilize for any of the standards. The instrument would beep, then the mV reading would raise another 0.1 mV, beep, then repeat. Flushed electrode filling solution and refilled. today and yesterday, the climate control in the lab did not seem to be working, so perhaps this is a result of the temp in teh lab slowly climbing."
29-May-23,jthoroski,,-49.8,,66.9,183.6,,98.6,98.6,,7.999,,6,4,,8.013,,6.009,3.993,,-50.6,,66.4,184,5.901,5.705,6.8,24.9,-58.35,417,,8,,6,4,,-50,,67,184,0,2.01948E-28,0,8.07794E-28,8.07794E-28,1.81754E-27,0,417,0,
24-May-23,jthoroski,,-51.8,,67.2,184.5,,99.8,99.1,,7.999,,6.001,4,,7.972,,6.004,4.017,,-49.4,,67,183.5,5.671,6.126,6.765,25.2,-59.075,421,,8,,6,4,,-52,,67,185,0,0.080277778,0,0.321111111,0.080277778,0.481666667,0.69,423,0.035,
23-May-23,jthoroski,,-50.4,,66.1,183.4,,98.5,98.5,,7.999,,6,4,,8.004,,6.002,3.988,,-50.7,,66.1,184.1,5.461,5.491,6.758,24.3,-58.45,417,,8,,6,4,,-51,,66,183,0,0.017777778,0,0.071111111,0.017777778,0.106666667,0.33,418,0.017,
23-May-23,jthoroski,,-50.7,,66.2,182.5,,98.7,98.3,,7.999,,5.998,4,,7.998,,6.024,,,,,,,,,,,-58.3,416,,8,,6,4,,-51,,66,183,0,0.01,0,0.04,0.01,0.06,0.24,417,0.013,"6.000 std came out as 6.024, recalibrated"
17-May-23,jthoroski,,-53.5,,64.9,181.1,,100,98.2,,7.999,,6,4.001,,8.001,,6.007,4.001,,-53.6,,64.5,181.1,5.594,6.13,6.75,24.5,-58.65,416,,8,,6,4,,-53,,64,181,0,0.134444444,0,0.537777778,0.134444444,0.806666667,0.9,419,0.046,
16-May-23,jthoroski,,-53.2,,65.1,182.3,,99.9,99.9,,7.999,,6,4,,8.006,,6.039,4.029,,-53.6,,62.8,180.6,5.539,5.918,6.715,25.5,-58.875,418,,8,,6,4,,-53,,65,182,0,0.033611111,0,0.134444444,0.033611111,0.201666667,0.45,419,0.023,
15-May-23,shavens,,-50.7,,66.3,185.3,,,99,,7.995,,6,4,,7.97,,5.994,4.005,,-49.2,,66.7,185,5.625,5.906,6.673,25,-59,421,,8,,6,4,,-51,,67,185,0,0.111111111,0,0.444444444,0.111111111,0.666666667,0.82,423,0.042,
15-May-23,shavens,,-46.3,,68.6,185.3,,97.1,97.1,,7.999,,6,4.002,,,,,,,,,,,,,,24.7,-57.9,417,,8,,6,4,,-47,,69,185,0,0.09,0,0.36,0.09,0.54,0.73,419,0.038,"8.000 std coming out as 8.045, rewetted the junction with electrode solution and recalibrated"
09-May-23,jthoroski,,-48.7,,68.4,186.1,,98.9,98.9,,7.999,,6,4,,8.015,,6.021,4.021,,,,,,5.608,6.055,6.743,25.5,-58.7,421,,8,,6,4,,-49,,69,186,0,0.01,0,0.04,0.01,0.06,0.24,422,0.013,
08-May-23,jthoroski,,-51.1,,68.9,187,,101.4,101.4,,7.999,,6,4,,7.996,,6.005,3.991,,,,,,5.492,5.912,6.765,25,-59.525,425,,8,,6,4,,-51,,68,187,0,0.100277778,0,0.401111111,0.100277778,0.601666667,0.78,428,0.039,new reference sample bottle
15-Mar-23,shavens,,-47.8,,68.1,183.8,,,97.7,,7.999,,6,4,,8.022,,5.962,3.968,,,,70.3,185.7,5.624,6.026,6.435,25,-57.9,415,,8,,6,4,,-48,,68,184,0,0.001111111,0,0.004444444,0.001111111,0.006666667,0.08,416,0.004,
14-Mar-23,shavens,,-50.1,,68.8,183.8,,100.4,97.1,,7.999,,6,4,,7.976,,6.034,3.976,,-48.7,,66.8,185.2,5.591,5.986,6.532,25.4,-58.475,418,,8,,6,4,,-49,,68,184,0,0.4225,0,1.69,0.4225,2.535,1.59,423,0.082,
14-Mar-23,shavens,,-49.3,,68.9,188.8,,,101.3,,7.994,,6,4,,7.995,,5.999,3.935,,-49.1,,69,192.8,5.838,5.678,6.379,25.3,-59.525,427,,8,,6,4,,-50,,69,189,0,0.080277778,0,0.321111111,0.080277778,0.481666667,0.69,429,0.035,"New electrode installed (channel 1). Both the pH 8 and and 4 measurements had very low precision. Eg., pH 4 would read 0.04 low and 0.04 high. Bad sample reprodicibility, switch to channels 2 and trying again"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
